STATION,DATE,TMAX,TMIN,TOBS
USC00182325,4/10/49,61,34,60
USC00189035,4/10/49,62,36,45
USW00013710,4/10/49,63,39,
USW00013751,4/10/49,61,40,
USW00093725,4/10/49,63,38,
USC00186350,4/11/49,63,43,60
USC00182325,4/11/49,62,42,62
USC00189035,4/11/49,62,42,48
USW00013710,4/11/49,63,47,
USW00013751,4/11/49,61,47,
USW00093725,4/11/49,62,48,
USC00186350,4/12/49,72,39,69
USC00182325,4/12/49,70,39,70
USC00189035,4/12/49,60,42,52
USW00013710,4/12/49,73,46,
USW00013751,4/12/49,72,45,
USW00093725,4/12/49,73,45,
USC00186350,4/13/49,70,52,60
USC00182325,4/13/49,75,52,61
USC00189035,4/13/49,70,50,52
USW00013710,4/13/49,62,54,
USW00013751,4/13/49,64,50,
USW00093725,4/13/49,62,54,
USC00186350,4/14/49,75,51,73
USC00182325,4/14/49,,,
USC00189035,4/14/49,66,52,63
USW00013710,4/14/49,74,53,
USW00013751,4/14/49,73,55,
USW00093725,4/14/49,74,54,
USC00186350,4/15/49,86,49,84
USC00182325,4/15/49,85,50,84
USC00189035,4/15/49,74,52,62
USW00013710,4/15/49,85,52,
USW00013751,4/15/49,83,50,
USW00093725,4/15/49,85,53,
USC00186350,4/16/49,85,42,46
USC00182325,4/16/49,85,43,45
USC00189035,4/16/49,84,42,45
USW00013710,4/16/49,55,40,
USW00013751,4/16/49,69,42,
USW00093725,4/16/49,53,40,
USC00186350,4/17/49,59,32,57
USC00182325,4/17/49,57,33,56
USC00189035,4/17/49,51,32,41
USW00013710,4/17/49,60,36,
USW00013751,4/17/49,59,39,
USW00093725,4/17/49,59,35,
USC00186350,4/18/49,62,45,62
USC00182325,4/18/49,60,45,60
USC00189035,4/18/49,58,40,46
USW00013710,4/18/49,62,47,
USW00013751,4/18/49,60,48,
USW00093725,4/18/49,62,47,
USC00186350,4/19/49,63,38,56
USC00182325,4/19/49,61,35,54
USC00189035,4/19/49,62,36,49
USW00013710,4/19/49,56,41,
USW00013751,4/19/49,55,45,
USW00093725,4/19/49,55,40,
USC00186350,4/20/49,67,40,66
USC00182325,4/20/49,66,37,66
USC00189035,4/20/49,61,38,50
USW00013710,4/20/49,67,42,
USW00013751,4/20/49,67,44,
USW00093725,4/20/49,68,43,
USC00186350,4/21/49,79,45,77
USC00182325,4/21/49,83,40,77
USC00189035,4/21/49,66,41,53
USW00013710,4/21/49,82,48,
USW00013751,4/21/49,80,49,
USW00093725,4/21/49,80,49,
USC00186350,4/22/49,77,52,59
USC00182325,4/22/49,77,40,59
USC00189035,4/22/49,76,53,58
USW00013710,4/22/49,62,57,
USW00013751,4/22/49,69,58,
USW00093725,4/22/49,61,57,
USC00186350,4/23/49,75,51,73
USC00182325,4/23/49,72,47,72
USC00189035,4/23/49,61,52,54
USW00013710,4/23/49,74,54,
USW00013751,4/23/49,73,58,
USW00093725,4/23/49,74,54,
USC00186350,4/24/49,74,48,55
USC00182325,4/24/49,73,44,54
USC00189035,4/24/49,72,47,53
USW00013710,4/24/49,61,49,
USW00013751,4/24/49,66,52,
USW00093725,4/24/49,60,48,
USC00186350,4/25/49,65,40,64
USC00182325,4/25/49,61,40,61
USC00189035,4/25/49,72,39,44
USW00013710,4/25/49,65,44,
USW00013751,4/25/49,66,46,
USW00093725,4/25/49,66,42,
USC00186350,4/26/49,85,44,83
USC00182325,4/26/49,85,42,85
USC00189035,4/26/49,64,44,50
USW00013710,4/26/49,85,48,
USW00013751,4/26/49,84,50,
USW00093725,4/26/49,86,49,
USC00186350,4/27/49,85,59,70
USC00189035,4/27/49,82,50,63
USW00013710,4/27/49,71,61,
USW00013751,4/27/49,72,63,
USW00093725,4/27/49,72,60,
USC00186350,4/28/49,71,51,66
USC00189035,4/28/49,70,52,53
USW00013710,4/28/49,66,50,
USW00013751,4/28/49,65,48,
USW00093725,4/28/49,67,51,
USC00186350,4/29/49,68,32,66
USC00182325,4/29/49,,35,65
USC00189035,4/29/49,66,37,46
USW00013710,4/29/49,68,40,
USW00013751,4/29/49,67,42,
USW00093725,4/29/49,68,45,
USC00186350,4/30/49,73,38,69
USC00182325,4/30/49,74,40,74
USC00189035,4/30/49,66,41,49
USW00013710,4/30/49,75,45,
USW00013751,4/30/49,74,48,
USW00093725,4/30/49,74,44,
USC00186350,5/1/49,77,59,69
USC00182325,5/1/49,74,59,74
USC00189035,5/1/49,73,41,60
USW00013710,5/1/49,75,60,
USW00013751,5/1/49,78,62,
USW00093725,5/1/49,76,62,
USC00186350,5/2/49,75,64,70
USC00182325,5/2/49,,,
USC00189035,5/2/49,75,58,65
USW00013710,5/2/49,74,59,
USW00013751,5/2/49,75,69,
USW00093725,5/2/49,76,60,
USC00186350,5/3/49,83,57,81
USC00182325,5/3/49,82,53,82
USC00189035,5/3/49,73,56,59
USW00013710,5/3/49,83,59,
USW00013751,5/3/49,80,60,
USW00093725,5/3/49,83,59,
USC00186350,5/4/49,89,50,88
USC00182325,5/4/49,82,54,80
USC00189035,5/4/49,81,54,62
USW00013710,5/4/49,89,55,
USW00013751,5/4/49,90,60,
USW00093725,5/4/49,90,56,
USC00186350,5/5/49,90,56,89
USC00182325,5/5/49,90,56,89
USC00189035,5/5/49,86,59,63
USW00013710,5/5/49,92,60,
USW00013751,5/5/49,89,63,
USW00093725,5/5/49,90,61,
USC00186350,5/6/49,93,65,92
USC00182325,5/6/49,92,,91
USC00189035,5/6/49,86,63,68
USW00013710,5/6/49,93,68,
USW00013751,5/6/49,94,69,
USW00093725,5/6/49,94,69,
USC00186350,5/7/49,93,64,79
USC00182325,5/7/49,92,63,89
USC00189035,5/7/49,91,67,69
USW00013710,5/7/49,94,60,
USW00013751,5/7/49,92,60,
USW00093725,5/7/49,92,60,
USC00186350,5/8/49,79,51,72
USC00182325,5/8/49,,,
USC00189035,5/8/49,91,50,57
USW00013710,5/8/49,73,54,
USW00013751,5/8/49,72,54,
USW00093725,5/8/49,93,54,
USC00186350,5/9/49,79,47,77
USC00182325,5/9/49,76,49,74
USC00189035,5/9/49,71,47,56
USW00013710,5/9/49,78,52,
USW00013751,5/9/49,76,53,
USW00093725,5/9/49,76,55,
USC00186350,5/10/49,77,58,59
USC00182325,5/10/49,77,59,60
USC00189035,5/10/49,75,56,59
USW00013710,5/10/49,64,57,
USW00013751,5/10/49,64,58,
USW00093725,5/10/49,64,57,
USC00186350,5/11/49,59,48,51
USC00182325,5/11/49,,,
USC00189035,5/11/49,62,47,47
USW00013710,5/11/49,57,50,
USW00013751,5/11/49,60,51,
USW00093725,5/11/49,57,47,
USC00186350,5/12/49,72,38,71
USC00182325,5/12/49,69,40,68
USC00189035,5/12/49,55,42,50
USW00013710,5/12/49,73,44,
USW00013751,5/12/49,71,45,
USW00093725,5/12/49,73,42,
USC00186350,5/13/49,73,45,73
USC00182325,5/13/49,72,45,71
USC00189035,5/13/49,70,47,52
USW00013710,5/13/49,72,51,
