"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00186350","38.9133","-76.97","15.2","1949-12-29","54","37","51"
"USC00186350","38.9133","-76.97","15.2","1949-12-30","51",,"39"
"USC00186350","38.9133","-76.97","15.2","1949-12-31","44",,"43"
"USC00186350","38.9133","-76.97","15.2","1950-01-01","53",,"48"
"USC00186350","38.9133","-76.97","15.2","1950-01-02","58",,"56"
"USC00186350","38.9133","-76.97","15.2","1950-01-03","59",,"59"
"USC00186350","38.9133","-76.97","15.2","1950-01-04","71",,"69"
"USC00186350","38.9133","-76.97","15.2","1950-01-05","70",,"65"
"USC00186350","38.9133","-76.97","15.2","1950-01-06","74","52","70"
"USC00186350","38.9133","-76.97","15.2","1950-01-07","70",,"41"
"USC00186350","38.9133","-76.97","15.2","1950-01-08","41",,"37"
"USC00186350","38.9133","-76.97","15.2","1950-01-09","52","30","52"
"USC00186350","38.9133","-76.97","15.2","1950-01-10","70","50","68"
"USC00186350","38.9133","-76.97","15.2","1950-01-11","69","45","49"
"USC00186350","38.9133","-76.97","15.2","1950-01-12","49","37","33"
"USC00186350","38.9133","-76.97","15.2","1950-01-13","47","32","47"
"USC00186350","38.9133","-76.97","15.2","1950-01-14","64","41","59"
"USC00186350","38.9133","-76.97","15.2","1950-01-15","59","31","48"
"USC00186350","38.9133","-76.97","15.2","1950-01-16","52","43","43"
"USC00186350","38.9133","-76.97","15.2","1950-01-17","45","28","43"
"USC00186350","38.9133","-76.97","15.2","1950-01-18","64","35","60"
"USC00186350","38.9133","-76.97","15.2","1950-01-19","60","22","34"
"USC00186350","38.9133","-76.97","15.2","1950-01-20","36","20","34"
"USC00186350","38.9133","-76.97","15.2","1950-01-21","43","26","42"
"USC00186350","38.9133","-76.97","15.2","1950-01-22","53","33","50"
"USC00186350","38.9133","-76.97","15.2","1950-01-23","63","40","61"
"USC00186350","38.9133","-76.97","15.2","1950-01-24","75","45","72"
"USC00186350","38.9133","-76.97","15.2","1950-01-25","77","55","74"
"USC00186350","38.9133","-76.97","15.2","1950-01-26","80","59","77"
